author_name,rating,published_at,text,author_image_url
Enam Delapan,5.0,2 bulan lalu,"Tempatnya nyaman dan pelayanan the best, kualitas okee",https://lh3.googleusercontent.com/a/ACg8ocII7bVL_GSWgO1u1dSvCZwDMaTeN6UzK9J4FOH2cgGW5sJQ0g=w36-h36-p-rp-mo-br100
Umi Zakiyah,5.0,5 bulan lalu,"Please langgangan bgt terkait rasa juara poll
tempate luas, antrian panjang sepertinya karena baru pindah kek orang orang pada antusias nyoba resto baruuuuu🫂🫂🫂 …",https://lh3.googleusercontent.com/a-/ALV-UjVD52OkDOKj6gwtt_GFC0v2I9wIcNULZZloUnY7XzOhp3FtD_c=w36-h36-p-rp-mo-br100
ahmad alifi,5.0,4 bulan lalu,"Pelayanannya ramah dan tempatnya bagus, pokoknya waw deh🥰 …",https://lh3.googleusercontent.com/a-/ALV-UjUBpOK1ANN3GA6khFWe_sAw2bhH93d4EvHJ3f0u_rqGFn5Sln4=w36-h36-p-rp-mo-br100
azizah deswita zahra,5.0,2 bulan lalu,"suasana nyaa enakk, makannya jugaaa enakk, ga perlu raguu lagii buat kesinii",https://lh3.googleusercontent.com/a-/ALV-UjXioEp5lXiuIBinY-xAbU3jZrlmNQO0a6IMjvpRyfs30Qy3dfMn=w36-h36-p-rp-mo-br100
Ita Naa,5.0,3 bulan lalu,"Makin bagus, rada konsisten, pelayanan juga lebih bagus dari sebelumnya, tempatnya makin luas dan parkirannya untuk mobil juga sudah ada 😁 …",https://lh3.googleusercontent.com/a-/ALV-UjVPKXz95wpdaHpL3TQmU-7pZDUIijnCugsEMhiu2vyfsF_NEGI=w36-h36-p-rp-mo-br100
Dedy Darmawan,5.0,sebulan lalu,"Mienya enak, pelayanan ramah dan cepat",https://lh3.googleusercontent.com/a-/ALV-UjV6s-sudAkEgnA7000T2ycFU7tatxQoDC0R_somzvgQQ041_FFP=w36-h36-p-rp-mo-ba2-br100
pasya antika,5.0,3 bulan lalu,"mie nya sangat enakk,rasanya gapernah berubah tetep enakkk,pedes nya nampoll,tempatnya juga nyaman bangettt💓💓🫰🫰 …",https://lh3.googleusercontent.com/a/ACg8ocIDGl7rhyrd-18oCtepWXbbRrJnq3xphX6F8oXWBFTPvT_5XA=w36-h36-p-rp-mo-br100
ainul roeshania,4.0,2 bulan lalu,"Salah satu tempat makan yang menjual jenis makanan mie pedas dan aneka dimsum yang enak. Suasana happy dan menyenangkan, lalu dilengkapi dengan area bermain untuk anak-anak. Area parkir luas dan nyaman. Pelayanan ramah dan ada musholla yang …",https://lh3.googleusercontent.com/a/ACg8ocLh8Qk6QxnePemPZdf3onlfeNWxEYnXnYJwKzcHLZMKbucdkw=w36-h36-p-rp-mo-ba4-br100
mell Yaa,5.0,5 bulan lalu,favorit banget tempatnya bersih pelayanannya pada murah senyum semua.tadinya bingung gmna sistemnya tapi mas2 nya ngejelasinnya sabar banget gak pernah ngecewain dah.karyawan an Ragil,https://lh3.googleusercontent.com/a-/ALV-UjXxUpqCfUx8n2mwi9T_5-4OM1EWMU0R4mKoD--CmWo67az7Rfs=w36-h36-p-rp-mo-br100
Mu,5.0,sebulan lalu,Pelayanannya satset bangettttttt dan untuk tempatnya jugaaa luas bersih enak deh pokoknyaa,https://lh3.googleusercontent.com/a-/ALV-UjVnVkp3ZcXviL3JEitPImTaanzm0Q00RNY_PPdFeN4F1YeHGY_u=w36-h36-p-rp-mo-br100
Olivia,5.0,3 bulan lalu,"Tempatnya semakin luas, nyaman, kebersihan dijaga.",https://lh3.googleusercontent.com/a-/ALV-UjXpKrpXm0FpnzF6ryUUVN3lH2TUn4zjip5pQKiDlhgCRSPonJJY=w36-h36-p-rp-mo-ba5-br100
Andini Rahmawati,5.0,Diedit seminggu lalu,Pelayanan nya ramah,https://lh3.googleusercontent.com/a/ACg8ocLL_DK-LDGvvQ0PkvPqyQy_KiOHwMAeJ47tBLRMQ8KiuSiAjA=w36-h36-p-rp-mo-br100
Nabila Putri Nur Haliza,5.0,4 bulan lalu,"tempatnya semakin nyaman, pelayanan ramah banget",https://lh3.googleusercontent.com/a-/ALV-UjXuMcj47gZ-_wu4rNwAyZj35h6NIm1ywcb5-_7WamAvW_SUtgo=w36-h36-p-rp-mo-br100
